URN,"Image Reference"
urn:cts:greekLit:tlg0012.tlg001.e3:10.1,"urn:cite:hmt:e3bifolio.E3-123v-124r@0.4695,0.6682,0.2593,0.0495"
urn:cts:greekLit:tlg0012.tlg001.e3:10.2,"urn:cite:hmt:e3bifolio.E3-123v-124r@0.4865,0.7057,0.2272,0.03"
