URN,ImageReference
urn:cts:greekLit:tlg5026.msA:13.0004,"urn:cite:hmt:chsimg.VA164RN-0335:0.6286,0.1878,0.1902,0.0488"
urn:cts:greekLit:tlg5026.msA:13.0008,"urn:cite:hmt:chsimg.VA164RN-0335:0.6326,0.568,0.2032,0.0639"
urn:cts:greekLit:tlg5026.msA:13.0012,"urn:cite:hmt:chsimg.VA164RN-0335:0.2703,0.7333,0.4965,0.0255"
urn:cts:greekLit:tlg5026.msA:13.0028,urn:cts:greekLit:tlg5026.msAext:13.0003,"urn:cite:hmt:chsimg.VA164VN-0666:0.1341,0.2532,0.0621,0.015"
urn:cts:greekLit:tlg5026.msAext:13.0007,urn:cts:greekLit:tlg5026.msA:13.0002,"urn:cite:hmt:chsimg.VA164RN-0335:0.1792,0.0909,0.6547,0.0796"
urn:cts:greekLit:tlg5026.msA:13.0005,"urn:cite:hmt:chsimg.VA164RN-0335:0.6326,0.2322,0.1962,0.0954"
urn:cts:greekLit:tlg5026.msA:13.0009,"urn:cite:hmt:chsimg.VA164RN-0335:0.1702,0.6273,0.6577,0.0887"
urn:cts:greekLit:tlg5026.msA:13.0013,"urn:cite:hmt:chsimg.VA164RN-0335:0.1742,0.7483,0.6717,0.0218"
urn:cts:greekLit:tlg5026.msA:13.0002,"urn:cite:hmt:chsimg.VA164RN-0335:0.1752,0.151,0.6537,0.0293"
urn:cts:greekLit:tlg5026.msA:13.0006,"urn:cite:hmt:chsimg.VA164RN-0335:0.6216,0.3208,0.2112,0.0992"
urn:cts:greekLit:tlg5026.msA:13.0010,"urn:cite:hmt:chsimg.VA164RN-0335:0.2292,0.6995,0.3453,0.0218"
urn:cts:greekLit:tlg5026.msA:13.0014,"urn:cite:hmt:chsimg.VA164RN-0335:0.1752,0.7588,0.6627,0.0458"
urn:cts:greekLit:tlg5026.msAim:13.0005,"urn:cite:hmt:chsimg.VA164VN-0666:0.4184,0.2577,0.0581,0.0661"
urn:cts:greekLit:tlg5026.msAim:13.0009,
urn:cts:greekLit:tlg5026.msA:13.0003,"urn:cite:hmt:chsimg.VA164RN-0335:0.4805,0.1608,0.3554,0.0293"
urn:cts:greekLit:tlg5026.msA:13.0007,"urn:cite:hmt:chsimg.VA164RN-0335:0.6316,0.4065,0.2122,0.1645"
urn:cts:greekLit:tlg5026.msA:13.0011,"urn:cite:hmt:chsimg.VA164RN-0335:0.1822,0.7062,0.6597,0.0421"
urn:cts:greekLit:tlg5026.msAim:13.0003,"urn:cite:hmt:chsimg.VA164RN-0335:0.4965,0.6814,0.1431,0.0203"
urn:cts:greekLit:tlg5026.msAim:13.0007,
urn:cts:greekLit:tlg5026.msA:13.0015,"urn:cite:hmt:chsimg.VA164RN-0335:0.1732,0.7859,0.6667,0.0533"
urn:cts:greekLit:tlg5026.msA:13.0019,"urn:cite:hmt:chsimg.VA164VN-0666:0.2142,0.1488,0.7077,0.2975"
urn:cts:greekLit:tlg5026.msA:13.0023,"urn:cite:hmt:chsimg.VA164VN-0666:0.2082,0.5815,0.2172,0.0736"
urn:cts:greekLit:tlg5026.msA:13.0027,
urn:cts:greekLit:tlg5026.msAil:13.0004,
urn:cts:greekLit:tlg5026.msAil:13.0008,
urn:cts:greekLit:tlg5026.msAil:13.0012,
urn:cts:greekLit:tlg5026.msA:13.0016,"urn:cite:hmt:chsimg.VA164VN-0666:0.2212,0.1074,0.4965,0.021"
urn:cts:greekLit:tlg5026.msA:13.0020,"urn:cite:hmt:chsimg.VA164VN-0666:0.2092,0.441,0.2282,0.0376"
urn:cts:greekLit:tlg5026.msA:13.0024,"urn:cite:hmt:chsimg.VA164VN-0666:0.2052,0.6491,0.2112,0.0639"
urn:cts:greekLit:tlg5026.msAil:13.0001,"urn:cite:hmt:chsimg.VA164RN-0335:0.2012,0.2983,0.1271,0.0248"
urn:cts:greekLit:tlg5026.msAil:13.0005,
urn:cts:greekLit:tlg5026.msAil:13.0009,
urn:cts:greekLit:tlg5026.msAil:13.0013,
urn:cts:greekLit:tlg5026.msAext:13.0001,"urn:cite:hmt:chsimg.VA164RN-0335:0.8328,0.3772,0.0661,0.0218"
urn:cts:greekLit:tlg5026.msAext:13.0005,"urn:cite:hmt:chsimg.VA164VN-0666:0.1261,0.5447,0.0531,0.0225"
urn:cts:greekLit:tlg5026.msAext:13.0009,
urn:cts:greekLit:tlg5026.msA:13.0017,"urn:cite:hmt:chsimg.VA164VN-0666:0.2202,0.115,0.6897,0.0285"
urn:cts:greekLit:tlg5026.msA:13.0021,"urn:cite:hmt:chsimg.VA164VN-0666:0.2132,0.4628,0.2112,0.0526"
urn:cts:greekLit:tlg5026.msA:13.0025,
urn:cts:greekLit:tlg5026.msAil:13.0002,
urn:cts:greekLit:tlg5026.msAil:13.0006,
urn:cts:greekLit:tlg5026.msAil:13.0010,
urn:cts:greekLit:tlg5026.msAil:13.0014,
urn:cts:greekLit:tlg5026.msA:13.0018,"urn:cite:hmt:chsimg.VA164VN-0666:0.2192,0.136,0.6947,0.027"
urn:cts:greekLit:tlg5026.msA:13.0022,"urn:cite:hmt:chsimg.VA164VN-0666:0.2052,0.5086,0.2392,0.0796"
urn:cts:greekLit:tlg5026.msA:13.0026,
urn:cts:greekLit:tlg5026.msAil:13.0003,
urn:cts:greekLit:tlg5026.msAil:13.0007,
urn:cts:greekLit:tlg5026.msAil:13.0011,
urn:cts:greekLit:tlg5026.msAil:13.0015,
urn:cts:greekLit:tlg5026.msAim:13.0002,"urn:cite:hmt:chsimg.VA164RN-0335:0.5926,0.3982,0.042,0.0398"
urn:cts:greekLit:tlg5026.msAim:13.0006,"urn:cite:hmt:chsimg.VA164VN-0666:0.4164,0.6875,0.0531,0.0458"
urn:cts:greekLit:tlg5026.msAim:13.0010,
urn:cts:greekLit:tlg5026.msA:13.0029,
urn:cts:greekLit:tlg5026.msAint:13.0001,"urn:cite:hmt:chsimg.VA164RN-0335:0.1151,0.2096,0.0641,0.0526"
urn:cts:greekLit:tlg5026.msAint:13.0005,"urn:cite:hmt:chsimg.VA164RN-0335:0.1141,0.4155,0.0561,0.0421"
urn:cts:greekLit:tlg5026.msAint:13.0009,
urn:cts:greekLit:tlg5026.msAim:13.0001,"urn:cite:hmt:chsimg.VA164RN-0335:0.5956,0.3546,0.035,0.0368"
urn:cts:greekLit:tlg5026.msAil:13.0005,
urn:cts:greekLit:tlg5026.msAil:13.0009,
urn:cts:greekLit:tlg5026.msAim:13.0004,"urn:cite:hmt:chsimg.VA164VN-0666:0.4224,0.2434,0.0551,0.015"
urn:cts:greekLit:tlg5026.msAim:13.0008,
urn:cts:greekLit:tlg5026.msAint:13.0002,"urn:cite:hmt:chsimg.VA164RN-0335:0.1742,0.2164,0.045,0.0481"
urn:cts:greekLit:tlg5026.msAint:13.0006,"urn:cite:hmt:chsimg.VA164RN-0335:0.1081,0.4959,0.0621,0.0323"
urn:cts:greekLit:tlg5026.msAint:13.0010,
urn:cts:greekLit:tlg5026.msAil:13.0002,
urn:cts:greekLit:tlg5026.msAil:13.0006,
urn:cts:greekLit:tlg5026.msAil:13.0010,
urn:cts:greekLit:tlg5026.msAext:13.0002,"urn:cite:hmt:chsimg.VA164RN-0335:0.8428,0.547,0.0511,0.021"
urn:cts:greekLit:tlg5026.msAext:13.0006,"urn:cite:hmt:chsimg.VA164VN-0666:0.1201,0.6559,0.0601,0.0496"
urn:cts:greekLit:tlg5026.msAext:13.0010,
urn:cts:greekLit:tlg5026.msAint:13.0003,"urn:cite:hmt:chsimg.VA164RN-0335:0.1301,0.3013,0.0741,0.0293"
urn:cts:greekLit:tlg5026.msAint:13.0007,"urn:cite:hmt:chsimg.VA164VN-0666:0.8999,0.2569,0.029,0.0361"
urn:cts:greekLit:tlg5026.msAil:13.0003,
urn:cts:greekLit:tlg5026.msAil:13.0007,
urn:cts:greekLit:tlg5026.msAext:13.0004,"urn:cite:hmt:chsimg.VA164VN-0666:0.1331,0.3794,0.046,0.0225"
urn:cts:greekLit:tlg5026.msAext:13.0008,
urn:cts:greekLit:tlg5026.msAint:13.0004,"urn:cite:hmt:chsimg.VA164RN-0335:0.1261,0.3381,0.0601,0.0398"
urn:cts:greekLit:tlg5026.msAint:13.0008,"urn:cite:hmt:chsimg.VA164VN-0666:0.8509,0.5447,0.048,0.0173"
urn:cts:greekLit:tlg5026.msAil:13.0004,
urn:cts:greekLit:tlg5026.msAil:13.0008,
